15_inch_main_armament;15-inch Main Armament
15_inch_main_armament_desc;The main armament of the first dreadnoughts consisted in most cases of 12-inch or 13.5-inch guns, but modern navies soon began to desire a larger calibre main armament. This resulted in later battleships being armed with 15-inch or 16-inch main guns, which had significantly greater destructive power and range than their predecessors.
able;Able
abolish_prohibition_desc;Some say that our nations's experiment with the outlawing of alcohol has gone on for too long, and argue that it should be abolished.
abolish_prohibition_title;Repeal Prohibition
abolish_serfdom_desc;The institution of serfdom -- unfree farm labour tied to the land of a local noble, effectively a form of feudal slavery -- had existed in various forms in Russia since the Kievan Rus of the 11th century. Throughout the ages the institution had undergone several reforms and changes, but the first steps toward a complete abolishment were taken only in the 1810s, when the institution was abolished in the Russian domains of Kurland, Estonia and Livonia. The institution was only abolished in all of Russia with the agrarian reform of 1861, during the reign of Tsar Alexander II, who at the time feared that the Russian peasantry might otherwise seek their liberation through outright revolution.
abolish_serfdom_title;The Peasant Reform
abolitionist_society;Abolitionist Society
aborigine;Aborigine
absolute_monarchy;Absolute Monarchy
absolute_monarchy_ruler;King
ABU;Abu Dhabi
ABU_1162;Abu Dhabi
ABU_ADJ;Abu Dhabian
ABU_anarcho_liberal;The Radical Faction
ABU_communist;The Communist Faction
ABU_conservative;Sheikhs Council
ABU_conservative_2;Trucial Sheiks
ABU_fascist;The Fascist Faction
ABU_liberal;The Liberal Faction
ABU_reactionary;The Nationalist Faction
ABU_socialist;The Socialist Faction
academic_confusion;Academic Confusion
academic_confusion_desc;Our academia is in a state of disarray, following a paradigm shift within our academic establishment. Our prestige and research will be hampered while the effect lasts.
academic_training;Academic Training
academic_training_desc;This meant that to become an officer it was no longer enough to be of gentle blood. You also had to attend a formal education which could at best be as good as any college. This was one of the most important causes behind the professionalization of the officers corps.
ACCEPT;Accept
accept;Accept
fixed_minimum_wage;Fixed Minimum Wage
fixed_minimum_wage_desc;Minimum wages are acceptable to most people.
fixed_minimum_wage_l;Fixed Min. Wage
state_pensions;State Pensions
state_pensions_desc;State pensions.
state_pensions_l;State Pensions
standarized_safety_regulations;Acceptable Safety Regulations
standarized_safety_regulations_desc;There are safety regulations governing all physical tasks.
standarized_safety_regulations_l;Acceptable Safety
acquire_core_state;Acquire core
acquire_core_state_desc;Aquire an enemy 即state劬 where we have 即core provinces劬
acquire_core_state_setup;Acquire core $STATE$ from $RECIPIENT$
acquire_core_state_short;Acquire $STATE$
acquire_state;Acquire state
acquire_state_desc;Aquire an enemy 即state劬
acquire_state_setup;Acquire $STATE$ from $RECIPIENT$
acquire_state_short;Acquire $STATE$
